,entity,summary,headline
1603,SNA,"NA,,,,,,",SnapOn up 7% on Q2 earnings beat
1604,LEN,"two punch"" for housing.,,,,,,","Rising interest rates having a big impact on potential home buyers, Lennar CEO saysCNBC's Diana Olick is joined by Stuart Miller, CEO of Lennar, to discuss how interest rates are a ""one"
1605,MYL,"* MYLAN - ACQUIRED GLOBAL DEVELOPMENT & MARKETING RIGHTS FROM PRAYOG LABS TO BRING TO MARKET FAST-ACTING MELOXICAM AS PROPOSED NON-NARCOTIC ANALGESIC,,,,,,",BRIEFMylan Acquires Global Development & Marketing Rights For Meloxicam
1606,AKAM,"Akamai Technologies (AKAM) is seeing encouraging earnings estimate revision activity as of late and carries a favorable rank, positioning the company for a likely beat this season.,,,,,,",Why Earnings Season Could Be Great for Akamai Technologies (AKAM)
1607,LRCX,"NA,,,,,,",ASML's Dominance Of The Semiconductor Lithography Sector Has FarReaching Implications
1608,FISV,"Fiserv (FISV) benefits from diverse product portfolio, active role on the partnership front and consistency in rewarding shareholders.,,,,,,",Fiserv (FISV) Hits 52Week High: What's Behind the Rally?
1609,CL,"NA,,,,,,",Buying Dividend Growth Stocks Without Looking  More Than 3 Years Later.
1610,MMM,"quarter net income of $523 million. The average estimate of six analysts surveyed by Zacks Investment Research was for earnings of $2.03 per share. Four analysts surveyed by Zacks expected $7.88...,,,,,,","3M beats Street 4Q forecastsST PAUL, Minn. _ 3 M Co. on Thursday reported fourth"
1611,MAT,nan,Hasbro: Further Upside Possible
1612,TIF,"Priyanka Chopra has always wanted a Tiffany ring. She told People that she dropped hints for fiancé Nick Jonas . He shut down a Tiffany & Co. store in July to purhase the ring. Priyanka Chopra knew exactly what kind of engagement ring she wanted. ...,,,,,,",Priyanka Chopra explains how she dropped engagement ring hints for Nick Jonas: 'It had to be Tiffany'
1613,NSC,nan,Confident tone from Norfolk Southern
1614,AAPL,"What are the technicals sayingThe US stocks are having rough day of it today. The news that China has added spying chips to some Apple and Amazon products been a catalyst.&nbsp; Maybe you blame the run up in rates as well or the more hawkish tal...,,,,,,",US stocks getting hit. Trades at day lows
1615,INTU,"These recently launched services look poised to morph into meaningful catalysts for Intuit.,,,,,,",Intuit Inc. Management Talks TurboTax Live and Turbo
1616,DFS,"It’s about how, not where, people spend money, says fund manager Tom Plumb, who’s loaded up on Visa, Mastercard and Discover Financial Services.,,,,,,","For stock market investors, there really is a great future in plastic"
1617,UNP,"NA,,,,,,",Tracking David Winters' Wintergreen Advisers Portfolio  Q2 2018 Update
1618,ISRG,"Anatomy of Success: Intuitive Surgical (ISRG),,,,,,",Anatomy of Success: Intuitive Surgical (ISRG)
1619,JWN,"Do expensive new shoes, made to look taped and dirty, ""mock poverty""? Shoppers are outraged over Nordstrom's Golden Goose sneakers that sell for $530.,,,,,,","Nordstrom's taped, dirtylooking shoes on sale for a mere $530; shoppers outraged"
1620,V,"Payment stocks have been showing their worth lately. These five might be worth putting into your portfolio: Mastercard, Visa, Green Dot, American Express and Square.,,,,,,","Visa, Mastercard Lead These 5 Hot Payment Stocks Breaking Out"
1621,AFL,nan,Dividend Sensei's Portfolio Update 40: How Dividend Stocks Could Save You A Fortune During The Next Market Crash
1622,RHT,"Red Hat came in below estimates for fiscal second quarter revenue, and guidance for the next quarter was also soft.,,,,,,",Red Hat falls after revenue disappoints
1623,KEY,"out calendar for Monday will have traders forced to chew on the widening divide between the EU and the UK on Brexit. The GBP/USD major pairing is near 1.2900 ahead of Monday...,,,,,,",GBP/USD on the chopping block as Brexit gap widensGBP buyers on the defensive as Brexit fears weigh on sentiment. A thinned
1624,PG,"NA,,,,,,",Procter & Gamble  Margin Compression And Volume Growth
1625,VLO,nan,"Which ETF Is A Better Investment These Days, XLE Or VDE?"
1626,XEC,"Jim Cramer explained why buying shares of Amazon, Netflix and Costco when they raise their subscription prices is a winning strategy.,,,,,,",Cramer: This move by Amazon is a clarion call to buy the stock
1627,CMCSA,"NA,,,,,,",Comcast Sum Of The Parts Indicates Material Undervaluation  Part II
1628,JWN,"The Dow Jones Industrial Average looks set for a lower open this morning ahead of today's Fed announcement, while FedEx and Nordstrom decline.,,,,,,","Morning Movers: Southwest Sinks, General Mills Tanks, FedEx Drops"
1629,NFX,"quarter results.,,,,,,","Newfield (NFX) Beats on Q4 Earnings, Guides Through 2020Considerable production from the Anadarko Basin supported Newfield Exploration's (NFX) strong fourth"
1630,KO,nan,Dividend Sensei's Portfolio Update 43: The 3 Essential Things All Investors Need To Get Rich
1631,EOG,nan,Legacy Reserves: What Downside Realistically Is
1632,ESRX,"13% after issuing a letter to stockholders as the Company prepares to initiate its Phase 2 study of AV-101 for Major Depressive Disorder. [[SMG]],,,,,,",Premarket Losers as of 9:05 am (1/30/2018)[[VTGN]] 
1633,DTE,"NA,,,,,,",Valuation Dashboard: Utilities  Update
1634,SYK,nan,Premarket Gainers as of 9:05 am (06/13/2018)
1635,ETN,"year-old Donny William Eaton pleaded guilty Monday to charges including mal...,,,,,,","Man gets life for attempting to behead wifeMARIETTA, Ga. — A man who attempted to behead his wife with a pocket knife for wanting to move to Florida has been sentenced to life in prison. News outlets report that 65"
1636,MSFT,"The court will decide whether a digital communications provider has to comply with a U.S. search warrant for user data if the information is stored outside of the country. ,,,,,,",U.S. Supreme Court to hear Microsoft email privacy case
1637,CTAS,"Alan Valdes of Silverbear Capital joins Yahoo Finance's Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves.Here's the performance of the Nasdaq 100 component stocks as of 3:00 pm ET:BMRN,Biomarin Pharm...,,,,,",NYSE trader: Tech stocks are best insulated from the trade war
1638,PVH,"May 30 (Reuters) - Apparel maker PVH Corp on Wednesday topped sales and profit estimates and raised its earnings forecasts for the year, driven by double-digit growth in Calvin Klein and Tommy Hilfiger brands.,,,,,,","UPDATE 1Calvin Klein owner PVH beats sales, profit estimates"
1639,STX,"Stifel resumes coverage of Seagate Tech (STX) with a Hold rating and a $49 price target (nearly 5% downside to yesterday’s close.) Firm cites IDC’s Data Ag,,,,,,",Stifel resumes Seagate at 5% downside
1640,WYNN,nan,"China Snaps Back, McMaster Leaves, Steve Wynn Exits The Scene (Wall Street Breakfast Podcast)"
1641,ATVI,"NA,,,,,,",WSJ: Videogame makers face highstakes October shootout
1642,HLT," Hotel operator Hilton Worldwide Holdings Inc reported a 24 percent rise in quarterly revenue on Wednesday, as more people booked its rooms at higher prices.,,,,,,",Hilton Q4 revenue jumps 24 pct on more booking at higher pricesFeb 14 (Reuters) 
1643,CI,"Hedge fund Glenview Capital Management on Thursday backed health insurer Cigna Corp's deal to buy pharmacy benefit manager Express Scripts in the face of stiff opposition from activist investor Carl Icahn ahead of a shareholder vote. Glenview, whi...,,,,,,",Glenview backs CignaExpress Scripts deal after Icahn criticism
1644,ETR," Earnings Call Slides-NA,,,,,,",Entergy Corporation 2017 Q4  Results 
1645,CCI,nan,REITs: Did We Just Witness A Dead Cat Bounce?
1646,PAYX,nan,Square talks new payroll app
1647,M,"IDEXX Laboratories (IDXX) Q1 results ($M): Revenue: 537.7 (+16.4%); CAG: 470.8 (+16.8%). Net income: 89.5 (+29.5%); EPS: 1.01 (+31.2%); cash flow ops: 34.9,,,,,,",IDEXX Labs Q1 top line up 16%; earnings up 30%; cash flow up 12%
1648,K,"The U.S. Food & Drug Administration said on Thursday recalled Kellogg Co Honey Smacks cereal was still being sold at retail outlets and warned consumers not to purchase the product.,,,,,,",FDA flags sale of recalled Kellogg's Honey Smacks cereal
1649,IBM,"For many years, IBM was the biggest piece of the S&P 500 and Dow Jones Industrial Average. Those days are long gone.,,,,,,",IBM hasn't been this unimportant to the stock market in at least 40 years
1650,GE,"Depending on your perspective, either the General Electric Co. rally is overdone or Wall Street hasn’t yet grasped its power.,,,,,,",GE Stock Price Is the Closest It's Been to Analyst Target in a Year
1651,KMI,nan,Kinder Morgan begins 'legal review' of B.C. move blocking more oil shipments
1652,ARE,nan,Ventas Is In A Class Of Its Own
1653,VTR,nan,The Best Healthcare REITs To Buy At A Bargain
1654,EL,"Estee Lauder (EL) delivered earnings and revenue surprises of 8.93% and 1.25%, respectively, for the quarter ended June 2018. Do the numbers hold clues to what lies ahead for the stock?,,,,,,",Estee Lauder (EL) Surpasses Q4 Earnings and Revenue Estimates
1655,CTXS," Earnings Call Slides-The following slide deck was published by Citrix Systems, Inc. in conjunction with their 2018 Q1 earnings call.,,,,,,","Citrix Systems, Inc. 2018 Q1  Results "
1656,GE,"market; Facebook Falls-Stocks - Tesla, GE Surge in Pre-market; Facebook Falls,,,,,,","Stocks  Tesla, GE Surge in Pre"
1657,COST,nan,Discounters look attractive to BAML
1658,MRK," The family behind Germany's Merck KGaA said it was fully committed to the group's pharmaceuticals unit, even if cancer immunotherapy hopeful avelumab does not achieve blockbuster sales.,,,,,,","Merck KGaA family says unreservedly behind the pharma unitDARMSTADT, Germany, May 3 (Reuters) "
1659,CNP,"NA,,,,,,",Valuation Dashboard: Utilities  Update
1660,MYL,"Saving HIV Combination Treatments In The U.S.-* MYLAN TO INTRODUCE TWO NEW COST-SAVING HIV COMBINATION TREATMENTS IN THE U.S.,,,,,,",BRIEFMylan To Introduce Two New Cost
1661,TJX,nan,DivGro Pulse: January 2018
1662,LLY,"Here's a roundup of top developments in the biotech space over the last 24 hours. Scaling the Peaks (Stocks hitting 52-week highs on Aug. 1) Bio-Rad Laboratories, Inc. (NYSE: BIO ) CAS Medical Systems Inc (NASDAQ: CASM ) Chembio Diagnostics Inc (N...,,,,,,","The Daily Biotech Pulse: Denali's Parkinson's Candidate Clears EarlyStage Trials, Dexcom's Strong Quarter"
1663,NEE,nan,Utilities sector upgraded at Morgan Stanley as riskier stock market looms
1664,APA,"U.S. oil producer Apache Corp will contribute some of its oil and gas pipeline assets to its joint venture with investment firm Kayne Anderson to create a pipeline company in the prolific Permian basin in Texas.,,,,,,","Apache, Kayne Anderson form $3.5 bln Permian basin pipeline firm"
1665,ORCL,"* COURT ORDERS <U+200D>MEETING OF ACONEX SHAREHOLDERS TO CONSIDER AND VOTE ON SCHEME UNDER WHICH ORACLE CORP'S UNIT WILL ACQUIRE ALL OF SHARES IN ACONEX<U+200B> Source text for Eikon: Further company coverage:,,,,,,",BRIEFAconex Updates On Court Orders Regarding Acquisition Of Aconex by Unit of Oracle Corp<U+200B>
1666,D,nan,Dominion Is Consistent
1667,DWDP,"* DOWDUPONT SAYS ON MARCH 20, DOW GOT INFORMAL NOTICE THAT REGION 6 OF EPA IS CONTEMPLATING FILING NOTICE OF VIOLATION - SEC FILING,,,,,,",BRIEFDowDuPont Says Co Got Informal Notice That Region 6 Of EPA Is Contemplating Filing Notice Of Violation
1668,IT,"quarter results.,,,,,,",Why Gartner Stock Gained 11% in AugustInvestors were happy with the research specialist's second
1669,LRCX,nan,"Lam Research beats by $0.66, beats on revenue"
1670,NLSN,nan,Wall Street Breakfast: U.S. Likely To Follow Global Stocks Lower As Turkish Lira Tumbles
1671,SPG,"NA,,,,,,",How To Build A Safe HighYield Retirement Portfolio Part 2: 10 Blue Chips To Start With
1672,XOM,"New York's attorney general sued Exxon Mobil Corp, alleging that the energy company misled investors about the risks of climate change regulations on its business.,,,,,,",New York sues Exxon for misleading investors on climate change risk
1673,MKC,"quarter fiscal 2018 results, which gains from acquisitions, well-chalked product strategies and savings initiatives.,,,,,,","McCormick (MKC) Posts Solid Q1 Earnings, Raises '18 ViewMcCormick (MKC) delivers robust first"
1674,APD,nan,Dividend Sensei's Portfolio Update 33: A Priceless Buffett Strategy That Can Make You Rich
1675,CVX,nan,43 Of 101 S&P 500 Stocks Show 'Safer' Dividends Yielding 3% To 5.55% For July
1676,FB,"Fox News contributor Adam Lashinsky and Belpointe Asset Management chief strategist David Nelson react to Facebook’s earnings report.,,,,,,",Facebook quarterly earnings beat expectations
1677,EQIX," Equinix, GoDaddy, InterXion, and Momo-PR Newswire NEW YORK, May 3, 2018 NEW YORK, May 3, 2018 /PRNewswire/ -- WallStEquities.com strives to bring the best free research to the investment community.  Today we are offering reports on EQIX, GDDY, INXN, and MOMO which can be accessed for ...,,,,,,",This Morning's Technical Outlook on Internet Stocks 
1678,NSC,"The U.S. economy is running hot and companies’ costs are starting to follow. Companies occupying key structural bottlenecks, such as Norfolk Southern, that can raise prices and defend margins win out.,,,,,,",This Railroad Can Keep Rolling 
1679,VTR,nan,Dividend Sensei's Portfolio Update 38: Why The Stock Market Might Soar 22% In The Next 18 Months And Then Crash 50%
1680,JPM,nan,"Healthcare Reform, Top Down And Bottom Up"
1681,SLB,nan,"ONGC shortlists Schlumberger, Halliburton, Baker for boosting output at 2 oilfields"
1682,PRU,nan,Financials take a beating as trade spat intensifies
1683,NWS,"- Twitter shares flew to a 28-month high after reporting their first-ever quarterly profit. Viacom, despite a revenue miss, rallied the most in a month on optimism about merger talks with CBS. News Corp reported a U.S. tax charge of $174 m...,,,,,,","3 Charts to Know: Twitter, Viacom News Corp EarningsFeb.08 "
1684,RL,"Ralph Lauren Inc. shares were upgraded to outperform from market perform at Cowen on the potential for initiatives to result in growth and elevation of the brand. Shares are up 1.4% in premarket trading. Ralph Lauren has been pulling back from the...,,,,,,",Ralph Lauren upgraded as initiatives show growth potential
1685,SLB,nan,Revisiting Schlumberger
1686,CF,"Tony Dwyer, Canaccord Genuity Chief Market Strategist discusses why he is optimistic about the stock market in 2018.,,,,,,","2018 will have an increase in volatility and the upside too: Tony Dwyer, strategist"
1687,FITB,"NA,,,,,,","Fifth Third Bancorp (FITB) CEO, Greg Carmichael on Q2 2018 Results  Earnings Call Transcript"
1688,KHC,"saving and productivity initiatives are likely to aid Kraft Heinz's (KHC) performance in Q4. However, lower volumes and higher commodity costs raise concerns.,,,,,,",Will Cost Cuts Boost Kraft Heinz's (KHC) Earnings in Q4?Cost
1689,KEY,"A wet spring in Portugal’s Douro Valley contributed to low yields for 2016 vintage ports which, combined with sterling’s weakness, may help drive prices higher in the key U.K. market compared with the last widely declared 2011 vintage, according t...,,,,,,","Vintage Ports From 2016 Will Be in Tight Supply, Driving Prices"
1690,D,"NA,,,,,,",Twitter Is Too Low To Ignore  Cramer's Lightning Round (8/20/18)
1691,USB,"money-laundering controls on Thursday. The Manhattan U.S. Attorney, Geoffrey Berman, said the bank,,,,,,","U.S. Bancorp fined $613M over AML lapsesUS Bancorp (USB), was fined $613M for lapses in its anti"
1692,ALGN,"ALGN earnings call for the period ending June 30, 2018.,,,,,,",Align Technology (ALGN) Q2 2018 Earnings Conference Call Transcript
1693,AMP,"Dividends are one of the best benefits to being a shareholder, but finding a great dividend stock is no easy task. Does Ameriprise Financial Services (AMP) have what it takes? Let's find out.,,,,,,",Ameriprise Financial Services (AMP) is a Top Dividend Stock Right Now: Should You Buy?
1694,PRU,"NA,,,,,,","Goldman +2.4% as new investment cochief named, investing app developments"
1695,HON,nan,Schneider Electric Still Not Getting Full Marks For Its Performance
1696,GE,"Stifel analyst Rob McCarthy discusses his outlook for General Electric shares in the wake of increased trade tensions between the U.S. and China.,,,,,,",Stifel analyst cuts price target on General Electric shar...
1697,KMB,"The big expectation from the Budget, which went by was that headline corporate tax would be reduced. That did not happen. Does that make India uncomparative as compared to some of the other developed countries which have promised to at least bring...,,,,,,",Power Talk: In conversation with Jane McCormick of KPMG
1698,JBHT,"JB Hunt Transport Services, Inc. (NASDAQ:JBHT) Q3 2018 Earnings Conference Call October 15, 2018, 17:30 ET Executives David Mee - EVP, Finance & Administrat,,,,,,","JB Hunt Transport Services, Inc. (JBHT) CEO John Roberts on Q3 2018 Results  Earnings Call Transcript"
1699,WFC,"NA,,,,,,",My Dividend Growth Portfolio  Q2 2018 Summary
1700,VTR,nan,Healthcare REITs: Demographic Boom Within Sight
1701,FB,"Looming earnings from tech giants Alphabet, Facebook and Amazon will likely overshadow investor worries about tariffs.,,,,,,","Here's Why Alphabet, Facebook and Amazon Earnings May Overshadow Tariff Worries"
1702,HAS,"Lionsgate shares pop 2 percent midday Tuesday after a Variety report revealed toy builder Hasbro was close to a deal.,,,,,,",Lionsgate shares jump after report toymaker Hasbro nearly acquired it last year
1703,CI,nan,"CIGNA beats by $0.72, beats on revenue"
1704,AVB,nan,"REITs Rally On Strong Earnings, Solid Economic Data"
1705,AAPL,"A bright future lies ahead for OLED. When that starts, and how long it lasts, is less clear.,,,,,,",iPhone X Was Supposed to Start an OLED Boom. It's Not Working Out
1706,PEP,nan,How To Retire Today Without Risking Grandma's Retirement
1707,EBAY,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",EBay's stock soars 12% premarket toward record high after Q4 results late WednesdayThis is a Real
1708,DWDP,nan,Dogs Of The Dow Update For July
1709,SWK,nan,"Annual Review Of DivGro, 2017"
1710,DWDP,"NA,,,,,,","DowDuPont And Bayer, PostMerger Opportunities?"
1711,MAC,"- WHAT : Macerich (NYSE: MAC ) Schedules Third Quarter 2018 Earnings Releas...,,,,,,","Macerich Schedules Third Quarter 2018 Earnings Release And Conference CallMacerich Schedules Third Quarter 2018 Earnings Release And Conference Call PR Newswire SANTA MONICA, Calif., Oct. 9, 2018 SANTA MONICA, Calif. , Oct. 9, 2018 /PRNewswire/ "
1712,IPGP,"NA,,,,,,",IPG Photonics  Buying The Softness
1713,OKE,"Yahoo Finance's Jared Blikre joins Seana Smith from the floor of the New York Stock Exchange to discuss the latest market moves after Saudi Arabia reportedly increased crude oil production by 330,000 barrels per day in June.Here's the performanc...,,,,,,","MARKETS: Crude oil refuses to stay down on bearish news, which is bullish"
1714,VAR,"term recovery.,,,,,,",Here's Why You Should Hold Varian Medical (VAR) Stock NowHere we analyze the major factors that have been plaguing Varian Medical (VAR) and discuss the prospects that ensure near
1715,NWL,"NA,,,,,,",Game Plan For The Week  Cramer's Mad Money (8/3/18)
1716,ECL,"Ecolab (ECL) reported earnings 30 days ago. What's next for the stock? We take a look at earnings estimates for some clues.,,,,,,",Ecolab (ECL) Up 4.3% Since Last Earnings Report: Can It Continue?
1717,LRCX,"Lam Research (LRCX) is seeing favorable earnings estimate revision activity and has a positive Zacks Earnings ESP heading into earnings season.,,,,,,",Why Lam Research (LRCX) Might Surprise This Earnings Season
1718,ALB,"oriented investors right now.,,,,,,",Should Value Investors Pick Albemarle (ALB) Stock Now?Let's put Albemarle Corporation (ALB) stock into this equation and find out if it is a good choice for value
1719,MMM,nan,"3M edges higher as RBC upgrades, citing valuation after recent swoon"
1720,XOM,"U.S. trade war, the world's largest publicly traded oil and gas company is turning toward Beijing for business at a time when most of Corporate America is looking elsewhere to avoid the threat of tariffs.,,,,,,","Exxon Mobil bets big on China LNG, sidesteps trade warIn the middle of a Sino"
1721,MSFT,"Oracle's stock has lagged behind considerably behind Microsoft as both companies shift to the cloud, and its dividend leaves plenty to be desired.,,,,,,",Oracle's stock slump and meager dividend don't give investors much hope
1722,BAX,"Baxter International (BAX) is expected to incur selling, general, and administrative expenses of $627.3 million in Q2 2018 compared to $603 million in Q2 2017, an increase of 4.03%.  Baxter International is expected to report net income of $375.33...,,,,,,",Why Most Analysts Are Bullish on Baxter International
1723,LMT," 26-NA,,,,,,",The Dr. Jekyll And Mr. Hyde Portfolios: Hyde Edition  Positions #21 
1724,IT,"Till the currency stabilises, we are going slower than usual with our investing, Prateek Agarwal, Business Head and CIO, ASK Investment Manager, tells ET Now. 65763684 65764754 65763684 Agarwal says being conservative, they are focusing on consume...,,,,,,","Falling market, weak rupee? Here’s where you may be safe"
1725,L," SEC Filing<U+200D><U+200B>-* JAMES S. TISCH REPORTS 5.1 PERCENT STAKE IN LOEWS CORP AS OF MARCH 8, 2018 - SEC FILING<U+200D><U+200B> Source text (http://bit.ly/2FIwLeA) Further company coverage: (Reuters.Brief@thomsonreuters.com),,,,,,","BRIEFJames S. Tisch Reports 5.1 Percent Stake In Loews Corp As Of March 8, 2018 "
1726,DE,nan,WSJ: China plans tariffs on U.S. agriculture exports in response to U.S.
1727,V,"Hong Kong has refused to renew a work visa for the Asia news editor of the Financial Times, who is also an official of the city's Foreign Correspondents' Club (FCC), a decision that has shocked many in the financial hub's international community.,,,,,,",Hong Kong press freedom in question as FT journalist denied visa
1728,EXPD,"Expeditors International (EXPD) delivered earnings and revenue surprises of 1.28% and 0.51%, respectively, for the quarter ended June 2018. Do the numbers hold clues to what lies ahead for the stock?,,,,,,",Expeditors International (EXPD) Q2 Earnings and Revenues Beat Estimates
1729,MU,"NA,,,,,,",Intel's Secret IndustrialScale Data Center Architecture
1730,CERN,"side analyst coverage notes were published on tech sector stocks. Here's the performance of select Nasdaq stocks as of 10:30 am ET: NFLX N...,,,,,,","MARKETS: Intel burnt, Micron upgraded, Netflix initiated, Spotify overweight and Square cutYahoo Finance's Alexis Christoforous and Jared Blikre break down the latest market action after several sell"
1731,RMD,nan,ResMed declares $0.37 dividend
1732,DVN,"NA,,,,,,",Devon Energy (DVN) Presents At J.P. Morgan Energy Equity Conference  Slideshow
1733,BK,"Names on the move ahead of the open.,,,,,,","Stocks making the biggest move premarket: TRV, BX, BK, DHR, TXT, PM & more"
1734,LOW,nan,May 2018 Portfolio Update
1735,QRVO,"Qorvo (QRVO) shares rose more than 16% in the last trading session, amid huge volumes.,,,,,,",Qorvo (QRVO) in Focus: Stock Moves 16.2% Higher
1736,UA,"quarter earnings results over the next few days.,,,,,,",3 Things to Watch in the Stock Market This WeekUnder Armour is just one of dozens of companies set to publish fourth
1737,STZ,nan,Canopy Growth: The King Of Cannabis Doesn't Come Cheaply
1738,SYMC,"Chubb, MetLife, Symantec and Enterprise’s rental-car chains have eliminated discounts and special programs from members of the National Rifle Association after consumers took to social media to voice outrage against the gun lobby.,,,,,,","Companies Bow to SocialMedia Pressure, Sever NRA Ties"
1739,NKE,nan,4 Trade Ideas For Nike: Bonus Idea
1740,PFE,"Pay less for stocks that pay you.,,,,,,",3 Dividend Stocks to Buy on Sale
1741,ADP,"Some of the stocks that may grab investor focus today are: Wall Street expects Boeing Co (NYSE: BA) to report quarterly earnings at $2.9 per share on ...,,,,,,","15 Stocks To Watch For January 31, 2018"
1742,NTRS,nan,Northern Trust declares $0.55 dividend
1743,NEE,"NA,,,,,,",Road To Financial Independence: My March 89Stock Portfolio Review
1744,L,"producing areas and as concerns mounted about global trade disputes and Turkey's currency crisis hurting demand.US,,,,,,","Oil falls more than 1 percent as storm fears ease, demand concerns...l prices fell more than one percent on Wednesday after a U.S. Gulf storm weakened and moved away from oil"
1745,TPR,nan,Bear market for supermodels?
1746,MAT,"Names on the move ahead of the open.,,,,,,","Stocks making the biggest move premarket: CPB, TWTR, MAT, FIVE, AVGO & more"
1747,AMT,"AMT is designed to prevent taxpayers from using breaks to escape their fair share of tax liability by recalculating taxes according to a specific formula.,,,,,,",Alternative Minimum Tax  AMT
1748,INTC,"An Israeli private intelligence firm was reportedly hired to dig up dirt on Obama administration officials who worked on the Iran nuclear deal in an effort to undermine the agreement.,,,,,,",Reports: Israeli intel firm dug up dirt on Obama officials to discredit Iran nuclear deal
1749,DWDP,"DowDuPont's (DWDP) Q2 adjusted earnings and sales beat the respective Zacks Consensus Estimate.,,,,,,",DowDuPont (DWDP) Q2 Earnings & Revenues Beat Estimates
1750,WY,"Weyerhaeuser (WY) is seeing favorable earnings estimate revision activity as of late, which is generally a precursor to an earnings beat.,,,,,,",Why Weyerhaeuser (WY) Might Surprise This Earnings Season
1751,MRO,"Marathon Oil has launched the sale of its British North Sea oil and gas fields, a document seen by Reuters showed, the latest U.S. firm to retreat from the basin to focus on onshore shale production at home.,,,,,,","Exclusive: Marathon Oil looks to exit North Sea, joining other U.S...."
1752,IBM,"market; IBM, Tilray, Canopy Growth Sink; Tesla Rises-Stocks - Netflix Soars in Pre-market; IBM, Tilray, Canopy Growth Sink; Tesla Rises,,,,,,",Stocks  Netflix Soars in Pre
1753,CMCSA,"Comcast says Sky shareholders have until October 6 to accept offer,,,,,,",Comcast says Sky shareholders have until October 6 to accept offer
1754,SCG,nan,"SCANA misses by $0.48, misses on revenue"
1755,JNJ,nan,Why Did This Dividend King Drop 4% On Strong Earnings?
1756,DG,"Highlights of this day in history: Nazi Germany's capital Berlin falls in World War II; Artist Leonardo da Vinci dies; Civil War Gen. 'Stonewall' Jackson killed; Nelson Mandela claims victory in South Africa vote; Singer Bing Crosby born. (May 2),,,,,,",Today in History for May 2nd
1757,ROP,"time headline. These are breaking news, delivered the minute it happens, delivered ticker-tape style. Visit www.marketwatch.com or the quote page for more information about this breaking news.,,,,,,",Roper Technologies downgraded to outperform from strong buy at Raymond JamesThis is a Real
1758,DLTR,"Dollar Tree (DLTR) shows resilience, driven by Family Dollar integration, store expansion and initiatives to improve store productivity. But, higher costs and soft margins remain headwinds.,,,,,,",Can Growth Initiatives Aid Dollar Tree Counter Cost Turmoil?
1759,IVZ,"NA,,,,,,",Invesco S&P SpinOff ETF: A Favorable Environment For Active Alpha
1760,SLG," SL Green Realty Corp, a major New York landlord, said on Wednesday law firm McDermott Will & Emery LLP signed a 20-year lease at One Vanderbilt, a 1,401-foot (427-meter) office tower going up next to Grand Central Te...,,,,,,","SL Green signs law firm to One Vanderbilt tower in New YorkNEW YORK, April 25 (Reuters) "
1761,FOXA,nan,"ValueAct adds new positions in LIND, AES; decreases on Fox"
1762,LOW,"Lowe's Cos.                                                                                                                                                                                                           LOW, +0...,,,,,,",Lowe's board approves $5 billion stock buyback plan 
1763,WYNN,nan,Macau sector slides after June GGR disappoints
1764,MAT,nan,Lanny's September Dividend Income Summary
1765,WMT,"NA,,,,,,",Wall Street Breakfast: NonFarm Payrolls In Focus
1766,WBA,"NA,,,,,,",Top 10 Net Payout Yields  August 2018
1767,AAL," Then Gave Most of It Back-An analyst upgrades American, but why buy now when earnings are just a week away?,,,,,,",Why American Airlines Group Stock Jumped 6% 
1768,QRVO,"quarter results are likely to be negatively impacted by sluggishness in China and weakness at its largest customer.,,,,,,",Will Weak Growth in China Hurt Qorvo's (QRVO) Q4 Earnings?Qorvo's (QRVO) fourth
1769,STZ,"- All year long, companies have been seeing green. Marijuana is poised to ...,,,,,,","Five Companies to Watch as Marijuana Goes GlobalFive Companies to Watch as Marijuana Goes Global FN Media Group Presents OilPrice.com News Commentary PR Newswire LONDON, July 24, 2018 LONDON , July 24, 2018 /PRNewswire/ "
1770,JWN,"Nordstrom's (JWN) solid omni-channel capabilities coupled with its customer-based strategy is expected to boost growth.,,,,,,",Nordstrom (JWN) Takes Big Strides on OmniChannel & Growth
1771,T,"Wells Fargo, Steve Madden, Facebook, Apple, AT&T and Time Warner are the companies to watch.,,,,,,","Wells Fargo pays major fine, Steve Madden beats on earnings, report hints at red flags regarding Apple sales"
1772,MCHP,"Zacks.com highlights: Allison Transmission Holdings, Westlake Chemical, Microchip Technology, M.D.C. Holdings and Shoe Carnival,,,,,,","Zacks.com highlights: Allison Transmission Holdings, Westlake Chemical, Microchip Technology, M.D.C. Holdings and Shoe Carnival"
1773,ETN,nan,Dividend Sensei's Portfolio Update 37: How Warren Buffett's True Secret To Success Can Make You Rich
1774,TGT,"TGT vs. COST: Which Stock Is the Better Value Option?,,,,,,",TGT or COST: Which Is the Better Value Stock Right Now?
1775,CMCSA,nan,10 Dividend Growth Stocks For April 2018
1776,PKI,"Looking for stocks that don’t just do well, but also do good? Here’s a start.,,,,,,",Want strong stocks that also have a positive impact on the world? Morgan Stanley has 30 candidates
1777,TXN,"CNBC's Kate Rogers reports on the quarterly earnings for Texas Instruments.,,,,,,",Texas Instruments issues strong Q2 earnings guidance
1778,UPS,"trotting executive an inside track to eventually lead the package-delivery giant.,,,,,,","UPS Picks a New No. 2 Executive, Setting Up a CEO SuccessorUnited Parcel Service named Jim Barber as chief operating officer, giving the globe"
